,context,duration,end_time,request_no,simulation_name,start_time,status
216,USER,0,2018-06-17 20:05:23.281,217,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.281,START
217,USER,0,2018-06-17 20:05:23.282,218,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.282,START
218,USER,0,2018-06-17 20:05:23.282,219,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.282,START
219,USER,0,2018-06-17 20:05:23.283,220,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.283,START
220,USER,0,2018-06-17 20:05:23.283,221,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.283,START
221,USER,0,2018-06-17 20:05:23.284,222,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.284,START
222,USER,0,2018-06-17 20:05:23.284,223,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.284,START
223,USER,0,2018-06-17 20:05:23.284,224,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.284,START
224,USER,0,2018-06-17 20:05:23.285,225,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.285,START
225,USER,0,2018-06-17 20:05:23.285,226,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.285,START
226,USER,0,2018-06-17 20:05:23.303,227,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.303,START
227,USER,0,2018-06-17 20:05:23.303,228,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.303,START
228,USER,0,2018-06-17 20:05:23.304,229,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.304,START
229,USER,0,2018-06-17 20:05:23.304,230,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.304,START
230,USER,0,2018-06-17 20:05:23.305,231,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.305,START
231,USER,0,2018-06-17 20:05:23.305,232,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.305,START
232,USER,0,2018-06-17 20:05:23.305,233,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.305,START
233,USER,0,2018-06-17 20:05:23.306,234,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.306,START
234,USER,0,2018-06-17 20:05:23.306,235,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.306,START
235,USER,0,2018-06-17 20:05:23.306,236,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.306,START
236,USER,0,2018-06-17 20:05:23.307,237,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.307,START
237,USER,0,2018-06-17 20:05:23.307,238,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.307,START
238,USER,0,2018-06-17 20:05:23.308,239,Fat Categorization Coldstart-scenario,2018-06-17 20:05:23.308,START
